Fran,Turley,FranTurley@gmail.com,123 N albany Ave,Chicago,IL,60613
Bill,Elliott,BillElliott@gmail.com,124 N albany Ave,Chicago,IL,60614
Dave,Smith,DaveSmith@gmail.com,125 N albany Ave,Chicago,IL,60615
Sara,Pye,SaraPye@gmail.com,126 N albany Ave,Chicago,IL,60616
Lauren,Cooney,LaurenCooney@gmail.com,127 N albany Ave,Chicago,IL,60617
Sam,Burton,SamBurton@gmail.com,128 N albany Ave,Chicago,IL,60618
Angela,Gomez,AngelaGomez@gmail.com,129 N albany Ave,Chicago,IL,60619
Jessica,Ames,JessicaAmes@gmail.com,130 N albany Ave,Chicago,IL,60620
Allison,Trenton,AllisonTrenton@gmail.com,131 N albany Ave,Chicago,IL,60621
Grant,Brady,GrantBrady@gmail.com,132 N albany Ave,Chicago,IL,60622
